Quarter,Weighted Average Lead Price,Max Price,Min Price
2008,,,
Qtr1,"$2,256.33","$3,253.50","$1,802.00"
Qtr2,"$1,801.60","$1,886.00","$1,735.50"
Qtr3,"$1,909.07","$2,245.00","$1,546.50"
Qtr4,"$1,265.53","$1,806.00",$880.00
2009,      ,      ,      
Qtr1,"$1,161.32","$1,341.00",$991.50
Qtr2,"$1,516.53","$1,796.50","$1,242.00"
Qtr3,"$1,949.24","$2,447.50","$1,567.00"
Qtr4,"$2,293.43","$2,445.00","$2,085.00"
2010,      ,      ,      
Qtr1,"$2,219.84","$2,591.00","$1,925.00"
Qtr2,"$1,946.97","$2,368.00","$1,558.50"
Qtr3,"$2,031.08","$2,272.50","$1,692.50"
Qtr4,"$2,392.83","$2,593.50","$2,150.00"
2011,      ,      ,      
Qtr1,"$2,606.20","$2,730.00","$2,428.50"
Qtr2,"$2,543.98","$2,939.00","$2,272.00"
Qtr3,"$2,450.89","$2,745.00","$1,994.00"
Qtr4,"$1,984.54","$2,119.00","$1,791.50"
2012,      ,      ,      
Qtr1,"$2,089.66","$2,288.00","$1,942.50"
Qtr2,"$1,977.79","$2,156.00","$1,744.00"
Qtr3,"$1,966.96","$2,300.00","$1,816.50"
Qtr4,"$2,200.81","$2,340.00","$2,002.00"
2013,      ,      ,      
Qtr1,"$2,296.08","$2,448.00","$2,078.00"
Qtr2,"$2,048.86","$2,246.50","$1,949.00"
Qtr3,"$2,100.40","$2,238.00","$2,016.50"
Qtr4,"$2,115.83","$2,259.00","$2,027.00"
2014,      ,      ,      
Qtr1,"$2,105.09","$2,212.00","$2,008.00"
Qtr2,"$2,097.72","$2,160.00","$2,016.00"
Qtr3,"$2,181.67","$2,269.00","$2,050.50"
Qtr4,"$1,995.24","$2,095.00","$1,814.00"
2015,      ,      ,      
Qtr1,"$1,807.63","$1,881.50","$1,696.00"
Qtr2,"$1,940.83","$2,140.00","$1,741.50"
Qtr3,"$1,712.12","$1,857.00","$1,625.00"
Qtr4,"$1,689.61","$1,816.50","$1,555.00"
2016,      ,      ,      
Qtr1,"$1,745.06","$1,896.50","$1,597.00"
Qtr2,"$1,717.69","$1,795.50","$1,646.00"
Qtr3,"$1,870.34","$2,105.50","$1,784.00"
Qtr4,"$2,145.38","$2,466.00","$1,965.00"
2017,      ,      ,      
Qtr1,"$2,273.70","$2,442.00","$2,007.00"
Qtr2,"$2,161.57","$2,327.50","$2,036.00"
Qtr3,"$2,335.13","$2,538.00","$2,200.00"
Qtr4,"$2,495.58","$2,586.50","$2,409.00"
2018,      ,      ,      
Qtr1,"$2,520.43","$2,683.00","$2,345.50"
Qtr2,"$2,387.39","$2,545.00","$2,274.00"
Qtr3,"$2,107.76","$2,405.00","$1,970.00"
Qtr4,"$1,967.82","$2,091.00","$1,867.00"
2019,      ,      ,      
Qtr1,"$2,029.90","$2,154.00","$1,934.50"
Qtr2,"$1,883.57","$2,022.00","$1,768.00"
Qtr3,"$2,032.54","$2,123.50","$1,863.00"
Qtr4,"$2,041.38","$2,267.00","$1,866.00"
2020,      ,      ,      
Qtr1,"$1,842.06","$2,027.00","$1,589.00"
Qtr2,"$1,671.32","$1,796.50","$1,576.50"
Qtr3,"$1,884.04","$1,994.00","$1,756.00"
Qtr4,"$1,894.99","$2,117.50","$1,742.50"
2021,      ,      ,      
Qtr1,"$2,012.36","$2,158.50","$1,896.00"
Qtr2,"$2,070.23","$2,228.50","$1,942.50"
